Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
F7		ENSG00000057593	"Coagulation factor VII"	P08709	13	113105788-113120685	"Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Human disease related genes, Plasma proteins, Predicted secreted proteins"	"Blood coagulation, Hemostasis"	"Hydrolase, Protease, Serine protease"	"Disease variant, FDA approved drug targets"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	102	"liver: 156.3"	"Cell type enriched"	"Detected in some"	7	"Hepatocytes: 119.3"	"Cell type enhanced"	"Detected in some"		"mammillary body: 1.2"	"Cancer enriched"	"Detected in some"	15	"Liver Hepatocellular Carcinoma (TCGA): 63.3"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"breast cancer: 3.0;liver cancer: 8.7"	"Liver - Hepatocytes"	"Not detected"	"Not detected"			"Not detected"	"Not detected"								"Secreted to blood"	"Blood coagulation"	NA	NA	351000000	720000000		"Cluster 31: Liver - Plasma proteins"	"Cluster 1: Neurons - Mixed function"	"Cluster 18: Liver cancer - Metabolism"	"Cluster 62: Hepatocytes - Metabolism"	3					"unprognostic (5.69e-2)"	"unprognostic (7.46e-2)"			"unprognostic (1.38e-1)"				"potential prognostic favorable (3.40e-5)"				"unprognostic (2.90e-3)"	"unprognostic (1.50e-1)"										"unprognostic (3.37e-1)"	"unprognostic (1.16e-1)"			"unprognostic (1.60e-1)"		
FADS6		ENSG00000172782	"Fatty acid desaturase 6"		17	74877302-74893781	"Metabolic proteins, Predicted intracellular proteins, Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in some"		"brain: 10.1;epididymis: 17.5;intestine: 14.0"	"Cell type enriched"	"Detected in some"	9	"Proximal enterocytes: 62.6"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Kidney - Proximal tubular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA016802	Uncertain						NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 50: Epididymis - Male reproductive secretion"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 61: BICR 18 - Protein kinases"	"Cluster 22: Proximal enterocytes - Digestion"				"HPA016802: AB_2669448"	"unprognostic (1.25e-1)"			"unprognostic (6.63e-3)"		"unprognostic (7.35e-3)"			"unprognostic (5.87e-2)"				"unprognostic (8.23e-2)"	"unprognostic (3.02e-1)"	"unprognostic (2.78e-1)"	"unprognostic (3.61e-2)"	"unprognostic (6.59e-2)"	"unprognostic (2.60e-1)"	"unprognostic (9.83e-3)"						"unprognostic (3.18e-1)"	"unprognostic (3.17e-2)"		"unprognostic (7.50e-2)"	"unprognostic (9.79e-2)"		"unprognostic (4.05e-2)"
FAM131B	KIAA0773	ENSG00000159784	"Family with sequence similarity 131 member B"	Q86XD5	7	143353400-143362770	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	9	"brain: 57.5"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 18.0;Inhibitory neurons: 11.5;Oligodendrocyte precursor cells: 10.4;Oligodendrocytes: 31.3"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in many"	12	"Glioblastoma Multiforme (TCGA): 28.3"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	4	"colorectal cancer: 5.8;Gallbladder cancer: 12.0;Neuroblastoma: 15.0"	"Minor Salivary Gland - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA021371, HPA029992"			Enhanced	Nucleoplasm,Cytosol			NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 53: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 51: Oligodendrocytes - Unknown function"	1	Nucleoplasm	Cytosol	"HPA021371: AB_1852341, HPA029992: "		"unprognostic (6.89e-2)"	"unprognostic (8.00e-2)"		"unprognostic (4.36e-2)"	"unprognostic (3.79e-2)"	"unprognostic (3.02e-1)"	"unprognostic (1.26e-1)"														"unprognostic (2.11e-1)"	"unprognostic (2.20e-1)"		"unprognostic (1.57e-2)"	"unprognostic (1.04e-1)"		"unprognostic (2.40e-2)"	"unprognostic (1.70e-1)"		
FAM133A	"CT115, FLJ37659, RP1-32F7.2"	ENSG00000179083	"Family with sequence similarity 133 member A"	Q8N9E0	X	93674013-93712274	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 4.7;testis: 7.5"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 16.9;Inhibitory neurons: 22.9;Late spermatids: 28.1;Oligodendrocyte precursor cells: 21.2;Oligodendrocytes: 14.5;Sertoli cells: 51.7;Spermatocytes: 24.7;Spermatogonia: 42.2"	"Low cell type specificity"	"Detected in many"			"Cancer enhanced"	"Detected in some"		"Testicular Germ Cell Tumor (TCGA): 3.5"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in many"	5	"Gallbladder cancer: 27.2;Myeloma: 13.5"	"Testis - Sertoli cells"					"Low region specificity"	"Detected in all"			"HPA066175, HPA069513"			Approved	Nucleoplasm,Nucleoli			NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 1: Neurons - Mixed function"	"Cluster 20: Myeloma - Immune response"	"Cluster 69: Neurons - Neuronal signaling"	57	Nucleoli	Nucleoplasm	"HPA066175: AB_2685629, HPA069513: AB_2686143"	"unprognostic (1.64e-2)"							"potential prognostic favorable (6.87e-4)"						"unprognostic (2.22e-3)"	"potential prognostic unfavorable (1.15e-4)"	"unprognostic (3.81e-2)"	"unprognostic (1.10e-1)"	"unprognostic (3.63e-2)"	"unprognostic (8.76e-2)"								"unprognostic (1.16e-1)"		"unprognostic (2.93e-1)"		
FAM135B	C8ORFK32	ENSG00000147724	"Family with sequence similarity 135 member B"	Q49AJ0	8	138130023-138497261	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	4	"adrenal gland: 2.5;brain: 7.2;retina: 9.5;testis: 3.7"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 61.0;Early spermatids: 177.8;Excitatory neurons: 221.8;Inhibitory neurons: 256.5;Late spermatids: 47.4"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 2.2"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pancreas - Alpha cells, Pancreas - Beta cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA023911, HPA023950, HPA024815"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane"			NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 52: Neurons & Synapses - Synaptic function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 8: Neurons - Neuronal signaling"	3	"Nuclear membrane"	Nucleoplasm	"HPA023911: AB_1845791, HPA023950: AB_1845792, HPA024815: AB_10601376"			"unprognostic (1.10e-1)"				"unprognostic (2.09e-1)"	"unprognostic (1.11e-2)"																							
FAM151B	UNQ9217	ENSG00000152380	"Family with sequence similarity 151 member B"	Q6UXP7	5	80487969-80542563	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"bone marrow: 4.7"	"Cell type enhanced"	"Detected in many"		"Excitatory neurons: 17.2;Inhibitory neurons: 20.7;Oligodendrocyte precursor cells: 17.5;Syncytiotrophoblasts: 10.5"	"Low cell type specificity"	"Detected in all"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"myeloid DC: 1.0"	"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in some"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA043805	Uncertain		Approved	Cytosol			NA	NA			"Cluster 38: Monocytes & Neutrophils - Degranulation"	"Cluster 77: Bone marrow - Cell proliferation"	"Cluster 29: Forebrain - Mixed function"	"Cluster 60: Prostate cancer - Unknown function"	"Cluster 65: Neurons - Synaptic function"	1	Cytosol		"HPA043805: AB_10794287"		"unprognostic (6.42e-2)"	"unprognostic (5.10e-1)"			"unprognostic (2.84e-1)"	"potential prognostic unfavorable (9.28e-4)"	"unprognostic (3.75e-1)"				"unprognostic (1.30e-1)"			"unprognostic (4.84e-3)"		"unprognostic (2.64e-1)"		"unprognostic (1.56e-1)"				"unprognostic (3.57e-2)"	"unprognostic (2.12e-1)"		"unprognostic (1.23e-1)"					
FAM163A	"C1orf76, MGC16664, NDSP"	ENSG00000143340	"Family with sequence similarity 163 member A"	Q96GL9	1	179743291-179816198	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"lymphoid tissue: 15.6;pituitary gland: 28.8;testis: 12.3"	"Group enriched"	"Detected in some"	5	"Early spermatids: 36.3;Late spermatids: 49.3"	"Cell type enhanced"	"Detected in many"		"lower rhombic lip: 164.6"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in all"		"pons: 44.3"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Group enriched"	"Detected in some"	15	"Adrenocortical cancer: 45.6;Neuroblastoma: 56.7"	"Adrenal gland - Adrenal medulla cells, Pituitary gland - Lactotropes, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"										NA	NA				"Cluster 28: Neuronal - Transcription"	"Cluster 49: Hindbrain - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 36: Late spermatids - Unknown function"	26															"unprognostic (7.00e-3)"										"unprognostic (1.16e-2)"					"unprognostic (2.36e-1)"				
FAM163B	C9orf166	ENSG00000196990	"Family with sequence similarity 163 member B"	P0C2L3	9	133577081-133609389	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	9	"brain: 82.6"	"Group enriched"	"Detected in some"	4	"Excitatory neurons: 24.0;Inhibitory neurons: 17.0;Late spermatids: 27.2"	"Low cell type specificity"	"Detected in many"			"Cancer enriched"	"Detected in single"	7	"Glioblastoma Multiforme (TCGA): 5.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	6	"Neuroblastoma: 12.9"	"Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA067336	Enhanced		Approved	"Nuclear bodies,Plasma membrane,Cytosol"			NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 53: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 65: Neurons - Synaptic function"	3	"Nuclear bodies, Plasma membrane, Cytosol"		"HPA067336: AB_2685825"							"unprognostic (3.32e-2)"	"unprognostic (5.14e-3)"							"potential prognostic favorable (1.44e-4)"																
FAM166C	"C2orf70, LOC339778"	ENSG00000173557	"Family with sequence similarity 166 member C"	A6NJV1	2	26562585-26579532	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 8.5;fallopian tube: 7.3;testis: 25.8"	"Group enriched"	"Detected in some"	13	"Early spermatids: 150.9;Late spermatids: 387.2"	"Group enriched"	"Detected in some"	13	"choroid plexus epithelial cell: 9.2;ependymal cell: 26.6"	"Low cancer specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"colorectal cancer: 4.5"	"Lung - Respiratory ciliated cells, Minor Salivary Gland - Minor salivary glandular cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in many"			HPA062453	Enhanced		Uncertain	"Nuclear membrane,Vesicles"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 63: Late spermatids - Spermatogenesis"		"Nuclear membrane, Vesicles"		"HPA062453: AB_2684769"		"unprognostic (4.48e-2)"		"unprognostic (1.17e-1)"	"unprognostic (1.44e-2)"	"unprognostic (1.13e-2)"							"unprognostic (1.79e-2)"			"unprognostic (1.70e-2)"		"unprognostic (2.71e-2)"		"unprognostic (4.14e-1)"	"unprognostic (1.12e-2)"	"unprognostic (7.80e-3)"	"unprognostic (2.79e-2)"		"unprognostic (1.37e-1)"	"unprognostic (3.08e-1)"	"unprognostic (2.23e-1)"	"unprognostic (5.29e-1)"		"unprognostic (2.34e-3)"	"unprognostic (1.83e-2)"
FAM180B	LOC399888	ENSG00000196666	"Family with sequence similarity 180 member B"	Q6P0A1	11	47586678-47589194	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	4	"choroid plexus: 26.4"	"Cell type enhanced"	"Detected in some"		"Fibroblasts: 16.3;Langerhans cells: 7.2;Leydig cells: 2.4;Peritubular cells: 4.0"	"Cell type enhanced"	"Detected in some"		"astrocyte: 3.0;bergmann glia: 4.5;central nervous system macrophage: 3.5"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Fibroblasts, Minor Salivary Gland - Fibroblasts, Skeletal muscle - Fibroblasts, Skin - Fibroblast_1, Skin - Fibroblast_2, Stomach - Fibroblasts, Thyroid gland - Fibroblasts"					"Region enhanced"	"Detected in many"		"spinal cord: 7.7"	HPA029408	Uncertain				"Secreted in other tissues"	"No annotated function"	NA	NA				"Cluster 60: Choroid plexus - Transmembrane transport"	"Cluster 15: Non-specific - Transcription"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 53: Fibroblasts - ECM organization"	1			"HPA029408: AB_10601319"			"unprognostic (1.68e-2)"					"unprognostic (1.41e-1)"																							
FAM181A	C14orf152	ENSG00000140067	"Family with sequence similarity 181 member A"	Q8N9Y4	14	93918894-93929608	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	8	"brain: 13.5;testis: 31.6"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 8.4;Ciliated cells: 8.4;Early spermatids: 55.0;Late spermatids: 12.3;Secretory cells: 17.8;Spermatocytes: 28.8"	"Group enriched"	"Detected in some"	7	"astrocyte: 11.6;bergmann glia: 20.6;ependymal cell: 27.7"	"Group enriched"	"Detected in some"	6	"Glioblastoma Multiforme (TCGA): 12.2;Ovary Serous Cystadenocarcinoma (TCGA): 5.1;Uterine Corpus Endometrial Carcinoma (TCGA): 3.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Undifferentiated cells (Pituitary gland), Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in all"			"Region enhanced"	"Detected in all"		"basal ganglia: 42.1"	"HPA001603, HPA018522"	Enhanced		Approved	Nucleoplasm,Cytosol			NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 31: Spermatocytes - Spermatogenesis"		Nucleoplasm	Cytosol	"HPA001603: AB_1078326, HPA018522: "							"unprognostic (1.34e-2)"	"unprognostic (1.56e-2)"												"unprognostic (6.02e-2)"	"unprognostic (1.00e-1)"									"unprognostic (5.88e-2)"	"unprognostic (4.95e-2)"
FAM181B	"LOC220382, MGC33846"	ENSG00000182103	"Family with sequence similarity 181 member B"	A6NEQ2	11	82729940-82733864	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"brain: 19.8"	"Cell type enhanced"	"Detected in many"		"Astrocytes: 53.3;Muller glia cells: 21.2;Oligodendrocyte precursor cells: 20.8;Oligodendrocytes: 17.7;Schwann cells: 17.6"	"Cell type enriched"	"Detected in many"	4	"bergmann glia: 422.0"	"Cancer enriched"	"Detected in some"	20	"Glioblastoma Multiforme (TCGA): 46.4"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"head and neck cancer: 2.7"	"Adipose subcutaneous - Smooth muscle cells, Colon - Enteric glia cells, Pituitary gland - Undifferentiated cells (Pituitary gland), Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA066861	Enhanced		Approved	"Nuclear membrane,Mitochondria"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 44: Non-specific - Mixed function"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 47: Astrocytes - Unknown function"		Mitochondria	"Nuclear membrane"	"HPA066861: AB_2685738"	"unprognostic (3.95e-2)"		"unprognostic (9.95e-2)"			"unprognostic (3.89e-2)"	"unprognostic (2.95e-2)"	"unprognostic (3.16e-2)"										"unprognostic (1.15e-2)"		"unprognostic (3.11e-2)"						"unprognostic (2.63e-1)"			"unprognostic (1.43e-1)"		"unprognostic (1.28e-1)"
FAM184B	KIAA1276	ENSG00000047662	"Family with sequence similarity 184 member B"	Q9ULE4	4	17629306-17781621	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"brain: 1.8;retina: 1.7;skeletal muscle: 4.0"	"Cell type enhanced"	"Detected in many"		"Oligodendrocyte precursor cells: 71.2;Oocytes: 152.2;Skeletal myocytes: 70.3"	"Low cell type specificity"	"Detected in all"			"Cancer enhanced"	"Detected in some"		"Kidney Chromophobe (TCGA): 4.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"				"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA044119, HPA048458"	Enhanced						NA	NA				"Cluster 3: Non-specific - Unknown function"	"Cluster 32: Cerebral cortex - Mixed function"	"Cluster 11: Neuronal - Sensory perception"	"Cluster 44: Oocytes - Unknown function"	1			"HPA044119: AB_2678817, HPA048458: AB_2680401"			"unprognostic (7.31e-2)"				"unprognostic (2.94e-1)"	"unprognostic (4.72e-2)"		"unprognostic (6.22e-2)"					"unprognostic (3.57e-2)"						"unprognostic (7.05e-2)"		"unprognostic (1.36e-1)"	"potential prognostic unfavorable (6.60e-4)"							"unprognostic (2.95e-1)"
FAM216B	"C13orf30, FLJ40919"	ENSG00000179813	"Family with sequence similarity 216 member B"	Q8N7L0	13	42781550-42791549	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	8	"fallopian tube: 75.1"	"Cell type enriched"	"Detected in some"	7	"Ciliated cells: 175.2"	"Cell type enriched"	"Detected in some"	15	"ependymal cell: 111.8"	"Cancer enhanced"	"Detected in some"		"Lung Adenocarcinoma (TCGA): 2.8;Uterine Corpus Endometrial Carcinoma (TCGA): 4.9"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in single"	8	"skin cancer: 1.6"	"Lung - Respiratory ciliated cells"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA040118	Uncertain						NA	NA				"Cluster 59: Fallopian tube - Tissue development"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 66: Non-specific - Mitochondria"	"Cluster 42: Ciliated cells - Cilium assembly"				"HPA040118: AB_10674429"								"unprognostic (1.49e-1)"								"unprognostic (1.58e-2)"	"unprognostic (9.83e-2)"		"unprognostic (2.63e-1)"	"unprognostic (1.78e-2)"											"unprognostic (1.07e-1)"
FAM227A		ENSG00000184949	"Family with sequence similarity 227 member A"	F5H4B4	22	38578118-38656629	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in some"		"choroid plexus: 4.8"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 112.4;Early spermatids: 91.9;Late spermatids: 64.1;Oocytes: 33.8;Rod photoreceptor cells: 35.9"	"Group enriched"	"Detected in many"	4	"choroid plexus epithelial cell: 162.7;ependymal cell: 321.6"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA003077	Uncertain		Uncertain	Nucleoplasm			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 21: Lymphoma - Adaptive immune response"	"Cluster 42: Ciliated cells - Cilium assembly"		Nucleoplasm		"HPA003077: AB_1079264"						"unprognostic (5.46e-2)"		"unprognostic (2.15e-1)"					"unprognostic (1.82e-2)"			"unprognostic (8.95e-2)"	"unprognostic (1.52e-1)"				"unprognostic (1.77e-2)"		"unprognostic (2.84e-3)"			"unprognostic (1.45e-2)"			"unprognostic (1.40e-1)"		"unprognostic (6.22e-2)"
FAM228A	"C2orf84, FLJ30851"	ENSG00000186453	"Family with sequence similarity 228 member A"	Q86W67	2	24175053-24200849	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	17	"testis: 34.1"	"Group enriched"	"Detected in some"	4	"Early spermatids: 138.7;Oocytes: 69.1;Spermatocytes: 142.3"	"Low cell type specificity"	"Detected in many"			"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			HPA075817			Approved	Nucleoplasm			NA	NA				"Cluster 44: Testis - Spermatogenesis"	"Cluster 9: Non-specific - Receptor signaling"	"Cluster 53: Squamous epithelial cells - Keratinization"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	16	Nucleoplasm		"HPA075817: "				"potential prognostic favorable (8.93e-4)"				"unprognostic (9.28e-3)"																					"unprognostic (1.35e-1)"		
