Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
CLDN6		ENSG00000184697	"Claudin 6"	P56747	16	3014712-3020071	"Predicted intracellular proteins, Predicted membrane proteins"	"Host-virus interaction"	"Host cell receptor for virus entry, Receptor"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.0"	"Cell type enhanced"	"Detected in some"		"Cytotrophoblasts: 40.9;Ductal cells: 18.5;Extravillous trophoblasts: 149.7;Fibroblasts: 44.4;Syncytiotrophoblasts: 37.7"	"Low cell type specificity"	"Detected in single"			"Group enriched"	"Detected in many"	5	"Ovary Serous Cystadenocarcinoma (TCGA): 143.3;Testicular Germ Cell Tumor (TCGA): 231.0;Uterine Corpus Endometrial Carcinoma (TCGA): 67.5"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in many"	5	"testis cancer: 303.0"	"Pancreas - Ductal cells"	"Not detected"	"Not detected"			"Not detected"	"Not detected"										NA	NA				"Cluster 78: Testis - Transcription"	"Cluster 15: Non-specific - Transcription"	"Cluster 34: Testis cancer - Unknown function"	"Cluster 4: Extravillous trophoblasts - Unknown function"	6				"unprognostic (4.94e-3)"	"unprognostic (2.61e-1)"		"unprognostic (1.08e-1)"					"unprognostic (1.13e-1)"						"unprognostic (3.16e-1)"	"unprognostic (4.33e-2)"	"unprognostic (1.37e-1)"	"unprognostic (6.17e-2)"	"unprognostic (2.70e-2)"	"unprognostic (9.49e-3)"	"unprognostic (3.40e-1)"	"unprognostic (4.45e-1)"	"unprognostic (1.83e-3)"					"unprognostic (1.32e-3)"	"unprognostic (1.47e-1)"		"unprognostic (2.76e-2)"
CLEC19A		ENSG00000261210	"C-type lectin domain containing 19A"	Q6UXS0	16	19285731-19322145	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.3"	"Cell type enhanced"	"Detected in some"		"Ciliated cells: 1.6;Hofbauer cells: 1.4;Microglial cells: 6.3"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 35.4;deep-layer intratelencephalic: 10.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells"														"Secreted in brain"	"No annotated function"	NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 58: Macrophages - Innate immune response"	1																													"unprognostic (1.77e-1)"					
CORO7-PAM16		ENSG00000103426	"CORO7-PAM16 readthrough"		16	4340251-4420494	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"			"Tissue enhanced"	"Detected in single"		"brain: 1.2"	"Cell type enriched"	"Detected in single"	4	"Oligodendrocytes: 2.7"					"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA041657, HPA053586, HPA062721"	Uncertain		Approved	Nucleoplasm,Microtubules,Mitochondria			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 30: White matter - Myelination"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 51: Oligodendrocytes - Unknown function"		"Nucleoplasm, Mitochondria"	Microtubules	"HPA041657: AB_10796351, HPA053586: AB_2682201, HPA062721: AB_2684849"																															
CREG2		ENSG00000175874	"Cellular repressor of E1A stimulated genes 2"	Q8IUH2	2	101345550-101387503	"Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	67	"brain: 55.0"	"Cell type enhanced"	"Detected in some"		"Excitatory neurons: 63.9;Granulosa cells: 11.5;Inhibitory neurons: 26.4;Oligodendrocytes: 11.2"	"Cell type enhanced"	"Detected in many"		"hippocampal dentate gyrus: 244.4"	"Cancer enhanced"	"Detected in single"		"Glioblastoma Multiforme (TCGA): 1.7"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Esophageal cancer: 2.3"	"Colon - Colon enteroendocrine cells, Kidney - Endothelial cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA038224	Enhanced				"Secreted in brain"	"No annotated function"	NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 51: Neurons - Mixed function"	"Cluster 7: Liver cancer - Metabolism"	"Cluster 34: Neurons - Neuronal signaling"				"HPA038224: AB_10673167"							"unprognostic (1.92e-2)"	"unprognostic (3.20e-1)"															"unprognostic (1.39e-2)"								
CSMD3		ENSG00000164796	"CUB and Sushi multiple domains 3"	Q7Z407	8	112222928-113436939	"Predicted membrane proteins"				"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.7"	"Group enriched"	"Detected in some"	13	"Excitatory neurons: 884.8;Inhibitory neurons: 829.3;Oligodendrocyte precursor cells: 1652.7"	"Low cell type specificity"	"Detected in all"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Colon - Colon enteroendocrine cells, Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA029007, HPA029008"	Uncertain		Approved	"Plasma membrane"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 29: Forebrain - Mixed function"	"Cluster 16: Thyroid cancer - Neuronal signaling"	"Cluster 65: Neurons - Synaptic function"		"Plasma membrane"		"HPA029007: AB_10601802, HPA029008: "			"unprognostic (3.96e-1)"					"potential prognostic favorable (5.38e-5)"																							
DBX2	FLJ16139	ENSG00000185610	"Developing brain homeobox 2"	Q6ZNG2	12	45014672-45051099	"Predicted intracellular proteins, Transcription factors"		DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	6	"brain: 3.5"	"Group enriched"	"Detected in some"	8	"Astrocytes: 10.8;Oligodendrocyte precursor cells: 13.2;Spermatogonia: 6.6"	"Group enriched"	"Detected in some"	5	"astrocyte: 25.6;bergmann glia: 7.1;oligodendrocyte precursor cell: 27.2"	"Cancer enriched"	"Detected in single"	32	"Glioblastoma Multiforme (TCGA): 6.8"	"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Kidney - Proximal tubular cells, Testis - Spermatogonia"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA065045, HPA066053"	Uncertain		Approved	"Nucleoplasm,Nuclear membrane,Vesicles"			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 12: Bone cancer - Neuronal signaling"	"Cluster 76: Oligodendrocyte precursor - Unknown function"		"Nucleoplasm, Nuclear membrane"	Vesicles	"HPA065045: , HPA066053: AB_2685605"			"unprognostic (9.91e-2)"				"unprognostic (1.75e-2)"	"potential prognostic unfavorable (5.62e-4)"																							
DLEU7	FLJ44882	ENSG00000186047	"Deleted in lymphocytic leukemia 7"	Q6UYE1	13	50519364-50843939	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Evidence at transcript level"	"Tissue enriched"	"Detected in single"	9	"brain: 5.7"	"Cell type enhanced"	"Detected in some"		"Bipolar cells: 25.3;Excitatory neurons: 26.0;Inhibitory neurons: 43.0;Kupffer cells: 23.3;Microglial cells: 34.0;Oligodendrocyte precursor cells: 19.8"	"Cell type enhanced"	"Detected in many"		"central nervous system macrophage: 340.7"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Adrenal gland - Macrophages, Lung - Macrophages"	"Low region specificity"	"Detected in all"			"Not detected"	"Not detected"			HPA053750	Uncertain						NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 69: Neurons - Neuronal signaling"				"HPA053750: AB_2682249"			"unprognostic (3.46e-1)"					"unprognostic (1.10e-1)"															"unprognostic (9.02e-2)"								
DLX2	TES-1	ENSG00000115844	"Distal-less homeobox 2"	Q07687	2	172099438-172102900	"Predicted intracellular proteins, Transcription factors"	"Differentiation, Transcription, Transcription regulation"	"Activator, Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 2.8"	"Cell type enhanced"	"Detected in some"		"Inhibitory neurons: 9.6;Late spermatids: 4.0;Schwann cells: 11.7"	"Cell type enhanced"	"Detected in some"		"CGE interneuron: 16.3;eccentric medium spiny neuron: 7.6;LAMP5-LHX6 and Chandelier: 10.3;MGE interneuron: 10.6"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in many"		"hypothalamus: 8.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Skin - Inner root sheath cells"	"Region enhanced"	"Detected in many"		"olfactory bulb: 29.4"	"Region enriched"	"Detected in many"	5	"olfactory bulb: 36.3"	HPA056965			Approved	"Nuclear speckles"			NA	NA				"Cluster 33: Brain - Neuronal signaling"	"Cluster 56: Hypothalamus - Neuropeptide signaling"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 69: Neurons - Neuronal signaling"	2	"Nuclear speckles"		"HPA056965: AB_2683291"		"unprognostic (7.18e-2)"	"unprognostic (1.62e-1)"				"unprognostic (3.82e-1)"	"unprognostic (9.29e-2)"	"unprognostic (1.09e-1)"									"unprognostic (2.87e-1)"						"unprognostic (3.79e-1)"							
DRAXIN	"C1orf187, FLJ34999, Neucrin"	ENSG00000162490	"Dorsal inhibitory axon guidance protein"	Q8NBI3	1	11691710-11725857	"Predicted secreted proteins"	"Wnt signaling pathway"	"Developmental protein"		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.1"	"Cell type enhanced"	"Detected in some"		"Erythroid cells: 3.5;Langerhans cells: 2.3;NK-cells: 6.3;T-cells: 4.0"	"Cell type enhanced"	"Detected in many"		"eccentric medium spiny neuron: 15.1"	"Cancer enhanced"	"Detected in some"		"Glioblastoma Multiforme (TCGA): 7.9;Testicular Germ Cell Tumor (TCGA): 5.2"	"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"basophil: 2.4"	"Lineage enriched"	"Detected in single"	4	"granulocytes: 2.4"	"Cancer enhanced"	"Detected in some"		"testis cancer: 4.2"	"Colon - Colon enteroendocrine cells, Minor Salivary Gland - Minor salivary gland ductal cells"	"Low region specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			HPA014302	Uncertain				"Secreted in brain"	"Developmental protein"	NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 34: Non-specific - Mixed function"	"Cluster 6: Leukemia - Signal transduction"	"Cluster 19: NK-cells - Adaptive immune response"	1			"HPA014302: AB_1853084"							"unprognostic (1.87e-1)"	"unprognostic (2.83e-1)"		"unprognostic (1.04e-1)"																"unprognostic (1.90e-1)"	"unprognostic (1.85e-1)"		"unprognostic (1.38e-1)"		"unprognostic (6.07e-2)"
DRD3		ENSG00000151577	"Dopamine receptor D3"	P35462	3	114127580-114199407	"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Human disease related genes, Predicted membrane proteins, Transporters"		"G-protein coupled receptor, Receptor, Transducer"	"FDA approved drug targets, Schizophrenia"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	5	"brain: 3.2"	"Cell type enriched"	"Detected in some"	6	"Late spermatids: 24.0"	"Group enriched"	"Detected in many"	4	"mammillary body: 106.0;medium spiny neuron: 57.9"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in some"		"basal ganglia: 9.6"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"	"Region enriched"	"Detected in some"	5	"basal ganglia: 7.4"	"Region enriched"	"Detected in all"	9	"basal ganglia: 26.2"								NA	NA				"Cluster 5: Brain & Testis - Signal transduction"	"Cluster 33: Neurons - Mixed function"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 63: Late spermatids - Spermatogenesis"	5																																		
EN2		ENSG00000164778	"Engrailed homeobox 2"	P19622	7	155458129-155464831	"Disease related genes, Predicted intracellular proteins, Transcription factors"		"Developmental protein, DNA-binding"	"Autism, Autism spectrum disorder"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	41	"brain: 35.3"	"Group enriched"	"Detected in some"	4	"Glandular and luminal cells: 8.1;Oocytes: 9.6;Skeletal myocytes: 2.9"	"Group enriched"	"Detected in some"	4	"cerebellar inhibitory: 41.5;upper rhombic lip: 38.7"	"Cancer enhanced"	"Detected in many"		"Skin Cuteneous Melanoma (TCGA): 10.1"	"Group enriched"	"Detected in many"	6	"cerebellum: 38.7;midbrain: 16.7"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in many"		"skin cancer: 12.7"	"Testis - Spermatocytes"	"Region enriched"	"Detected in some"	8	"cerebellum: 27.8"	"Region enriched"	"Detected in many"	5	"cerebellum: 82.1"	"HPA045646, HPA069809"			Supported	"Nucleoplasm,Nucleoli,Nucleoli fibrillar center"			No	No				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 2: Neurons - Nucleosome"	"Cluster 9: Skin cancer - Melanin biosynthesis"	"Cluster 37: Glandular & Luminal cells - Unknown function"		Nucleoplasm	"Nucleoli, Nucleoli fibrillar center"	"HPA045646: AB_2679404, HPA069809: AB_2686205"				"unprognostic (3.55e-2)"			"potential prognostic unfavorable (1.07e-5)"	"unprognostic (1.05e-2)"	"unprognostic (2.98e-1)"				"potential prognostic unfavorable (1.18e-5)"					"unprognostic (5.95e-3)"									"unprognostic (2.13e-1)"				"unprognostic (4.44e-2)"
ENSG00000264668		ENSG00000264668	"Novel protein"		8	143247110-143276403	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in single"		"brain: 1.3"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												"HPA047232, HPA056268"	Uncertain		Approved	"Nucleoplasm,Nucleoli,Nucleoli rim,Plasma membrane"			NA	NA				"Cluster 64: Neuronal - Transcription"		"Cluster 44: Connective tissue cells - ECM organization"			"Nucleoli, Nucleoli rim"	"Nucleoplasm, Plasma membrane"	"HPA047232: , HPA056268: AB_2683082"																															
ENSG00000268361		ENSG00000268361	"Novel protein"		19	43554692-43593036	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	4	"brain: 1.0"	"Not detected"	"Not detected"			"Low cell type specificity"	"Detected in many"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in single"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA			"Cluster 46: Basophils - Proteolysis"	"Cluster 65: Cerebellum - Nervous system development"	"Cluster 34: Non-specific - Mixed function"	"Cluster 1: Neuronal - Visual perception"																																				
ENSG00000282936		ENSG00000282936	"Novel protein"		17	6628619-6640456	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Low tissue specificity"	"Detected in single"			"Cell type enhanced"	"Detected in single"		"Rod photoreceptor cells: 1.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"				"Low region specificity"	"Detected in all"														NA	NA				"Cluster 64: Neuronal - Transcription"	"Cluster 51: Neurons - Mixed function"	"Cluster 42: Non-specific - Unknown function"	"Cluster 9: Endometrial stromal cells - Transcription"																																			
ENSG00000286015		ENSG00000286015	"Novel protein"		1	248681249-248748349	"Predicted intracellular proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enriched"	"Detected in single"	11	"brain: 1.8"	"Cell type enhanced"	"Detected in some"		"Early spermatids: 2.3;Intestinal goblet cells: 2.9;Late spermatids: 8.0;Paneth cells: 5.9;Proximal tubular cells: 1.3"	"Cell type enhanced"	"Detected in many"		"deep-layer intratelencephalic: 28.6;upper-layer intratelencephalic: 39.6"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"																			NA	NA					"Cluster 53: Neurons - Mixed function"	"Cluster 55: Lymphoma - Immune response"	"Cluster 63: Late spermatids - Spermatogenesis"																																			
ENSG00000288658		ENSG00000288658	"Novel protein, ortholog of Gm2102 (M. musculus)"		2	222314148-222320155	"Predicted membrane proteins"				"Evidence at transcript level"	"Evidence at transcript level"			"Tissue enhanced"	"Detected in single"		"brain: 1.9"	"Cell type enhanced"	"Detected in some"		"Cardiomyocytes: 4.1;Collecting duct cells: 1.9;Endometrial stromal cells: 3.0;Mesothelial cells: 4.8"					"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"Neuroblastoma: 1.3"						"Low region specificity"	"Detected in many"										NA	NA					"Cluster 51: Neurons - Mixed function"	"Cluster 17: Neuroblastoma - Neuronal signaling"	"Cluster 68: Cardiomyocytes - Muscle contraction"											"unprognostic (3.41e-1)"											"unprognostic (2.09e-3)"	"unprognostic (2.66e-2)"	"unprognostic (1.55e-1)"											
FGF3	"HBGF-3, INT2"	ENSG00000186895	"Fibroblast growth factor 3"	P11487	11	69809968-69819416	"Cancer-related genes, Disease related genes, Human disease related genes, Predicted secreted proteins, RAS pathway related proteins"	Differentiation	"Developmental protein, Growth factor, Mitogen"	"Cancer-related genes, Disease variant, Proto-oncogene"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	133	"brain: 13.3"	"Not detected"	"Not detected"			"Cell type enriched"	"Detected in single"	21	"upper rhombic lip: 3.5"	"Cancer enhanced"	"Detected in some"		"Stomach Adenocarcinoma (TCGA): 2.3"	"Region enriched"	"Detected in some"	6	"cerebellum: 7.4"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enriched"	"Detected in some"	13	"cervical cancer: 21.5"		"Region enhanced"	"Detected in some"		"basal ganglia: 3.1"	"Not detected"	"Not detected"			HPA012692	Enhanced				"Secreted in brain"	"Growth factor"	NA	NA				"Cluster 65: Cerebellum - Nervous system development"	"Cluster 35: Non-specific - DNA binding"	"Cluster 32: Non-specific - Cell proliferation"	"Cluster 71: Horizontal & Bipolar cells - Neuronal signaling"	1			"HPA012692: AB_1848526"																				"unprognostic (1.21e-1)"								"unprognostic (4.61e-1)"			
FOXB1	"FKH5, HFKH-5"	ENSG00000171956	"Forkhead box B1"	Q99853	15	60004234-60061730	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	7	"brain: 4.1"	"Group enriched"	"Detected in some"	4	"Early spermatids: 42.4;Schwann cells: 13.9"	"Group enriched"	"Detected in some"	11	"astrocyte: 26.7;ependymal cell: 18.0;mammillary body: 56.2"	"Cancer enhanced"	"Detected in some"		"Uterine Corpus Endometrial Carcinoma (TCGA): 1.6"	"Low region specificity"	"Detected in many"			"Immune cell enriched"	"Detected in single"	5	"T-reg: 1.1"	"Lineage enriched"	"Detected in single"	12	"T-cells: 1.1"	"Cancer enhanced"	"Detected in some"		"Leukemia: 3.3;prostate cancer: 3.1"	"Testis - Early spermatids"	"Region enhanced"	"Detected in many"		"hypothalamus: 6.6"	"Low region specificity"	"Detected in many"			HPA073369			Approved	Nucleoplasm,Mitochondria			NA	NA				"Cluster 9: Oligodendrocytes - Myelination"	"Cluster 19: Astrocytes - Mixed function"	"Cluster 59: Leukemia - T-cell receptor"	"Cluster 18: Early spermatids - Unknown function"	5	"Nucleoplasm, Mitochondria"		"HPA073369: AB_2686597"																				"unprognostic (1.89e-1)"											"unprognostic (2.01e-1)"
FOXD4L6		ENSG00000273514	"Forkhead box D4 like 6"	Q3SYB3	9	41126435-41128681	"Predicted intracellular proteins, Transcription factors"	"Transcription, Transcription regulation"	DNA-binding		"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.4"	"Not detected"	"Not detected"							"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"												HPA012836	Uncertain		Approved	Nucleoplasm			NA	NA				"Cluster 22: Brain - Synaptic signal transduction"	"Cluster 51: Neurons - Mixed function"	"Cluster 10: Ciliated cells - Ion channel activity"		40	Nucleoplasm		"HPA012836: AB_2105429"																															
FREM3		ENSG00000183090	"FRAS1 related extracellular matrix 3"	P0C091	4	143577302-143700675	"Predicted secreted proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at transcript level"	"No human protein/transcript evidence"	"Evidence at protein level"	"Tissue enhanced"	"Detected in single"		"brain: 1.2"	"Cell type enhanced"	"Detected in some"		"Astrocytes: 1.5;Excitatory neurons: 9.4;Inhibitory neurons: 3.4;Oligodendrocyte precursor cells: 4.2;Oligodendrocytes: 1.9"	"Cell type enhanced"	"Detected in many"		"LAMP5-LHX6 and Chandelier: 24.3;upper-layer intratelencephalic: 37.3"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Pituitary gland - Thyrotropes"	"Group enriched"	"Detected in some"	5	"basal ganglia: 3.1;hypothalamus: 2.8;thalamus: 4.4"					HPA041641	Uncertain				"Secreted to extracellular matrix"	"Cell adhesion"	NA	NA				"Cluster 61: Brain - Neuronal signaling"	"Cluster 14: Neurons - Synaptic function"	"Cluster 27: Breast cancer - Unknown function"	"Cluster 34: Neurons - Neuronal signaling"				"HPA041641: AB_2677592"								"potential prognostic favorable (2.15e-4)"																							
